tag,day,round,gamma,err,ratio
2% GMV noise,2,5,-0.1875,0.10037590569656885,0.8914363804011263
2% GMV noise,2,6,-0.28125,0.006625905696568846,1.002643325748868
2% GMV noise,2,7,-0.234375,0.053500905696568846,0.9408497252371372
2% GMV noise,2,8,-0.2578125,0.030063405696568846,0.9987306114966582
2% GMV noise,2,9,-0.26953125,0.018344655696568846,0.9868855629154542
2% GMV noise,2,10,-0.275390625,0.012485280696568846,1.0013129877619626
2% GMV noise,2,11,-0.2724609375,0.015414968196568846,0.9891751576353082
2% GMV noise,2,12,-0.27392578125,0.013950124446568846,0.9956724162407006
2% GMV noise,3,1,0.0,0.27605675088405246,0.743055432590982
2% GMV noise,3,2,-1.5,1.2239432491159477,1.3127371767317906
2% GMV noise,3,3,-0.75,0.47394324911594754,1.2685823288659215
2% GMV noise,3,4,-0.375,0.09894324911594754,1.1108123023056633
2% GMV noise,3,5,-0.1875,0.08855675088405246,0.9232153633753214
2% GMV noise,3,6,-0.28125,0.00519324911594754,1.0201133423369244
2% GMV noise,3,7,-0.234375,0.04168175088405246,0.9876873740394408
2% GMV noise,3,8,-0.2578125,0.01824425088405246,0.9793337346602565
2% GMV noise,3,9,-0.26953125,0.00652550088405246,0.9713325778241381
2% GMV noise,3,10,-0.275390625,0.0006661258840524598,0.9844914621721315
2% GMV noise,3,11,-0.2783203125,0.0022635616159475402,1.032021933699468
2% GMV noise,3,12,-0.27685546875,0.0007987178659475402,1.0273591670476656
2% GMV noise,4,1,0.0,0.2709588294911648,0.7440490278160471
2% GMV noise,4,2,-1.5,1.229041170508835,1.3638343643600646
2% GMV noise,4,3,-0.75,0.4790411705088352,1.2707205170360225
2% GMV noise,4,4,-0.375,0.10404117050883521,1.1423075069078346
2% GMV noise,4,5,-0.1875,0.08345882949116479,0.9167130678465986
2% GMV noise,4,6,-0.28125,0.010291170508835212,0.9980620050828081
2% GMV noise,4,7,-0.328125,0.05716617050883521,1.1063823127947674
2% GMV noise,4,8,-0.3046875,0.03372867050883521,1.0101278150047501
2% GMV noise,4,9,-0.29296875,0.022009920508835212,1.04745184842754
2% GMV noise,4,10,-0.287109375,0.016150545508835212,0.9852317129156177
2% GMV noise,4,11,-0.2900390625,0.019080233008835212,1.0471941683209631
2% GMV noise,4,12,-0.28857421875,0.017615389258835212,1.0553963544835285
2% GMV noise,5,1,0.0,0.32236963745870784,0.7384340225186762
2% GMV noise,5,2,-1.5,1.1776303625412923,1.2653328666414896
2% GMV noise,5,3,-0.75,0.42763036254129216,1.2458234677683762
2% GMV noise,5,4,-0.375,0.052630362541292164,1.043234405685828
2% GMV noise,5,5,-0.1875,0.13486963745870784,0.8961313930856558
2% GMV noise,5,6,-0.28125,0.041119637458707836,0.9628202589756908
2% GMV noise,5,7,-0.328125,0.005755362541292164,1.018016234393363
2% GMV noise,5,8,-0.3046875,0.017682137458707836,0.9987847829514301
2% GMV noise,5,9,-0.31640625,0.005963387458707836,1.0140964248386866
2% GMV noise,5,10,-0.310546875,0.011822762458707836,0.9674063302959371
2% GMV noise,5,11,-0.3134765625,0.008893074958707836,1.016181150752799
2% GMV noise,5,12,-0.31201171875,0.010357918708707836,1.008813805969353
2% GMV noise,6,1,0.0,0.311942712573562,0.7329755252460063
2% GMV noise,6,2,-1.5,1.188057287426438,1.253287821936514
2% GMV noise,6,3,-0.75,0.438057287426438,1.2668062015268287
2% GMV noise,6,4,-0.375,0.06305728742643801,1.0951612874499355
2% GMV noise,6,5,-0.1875,0.12444271257356199,0.9002909653733809
2% GMV noise,6,6,-0.28125,0.030692712573561987,0.9259382022167345
2% GMV noise,6,7,-0.328125,0.016182287426438013,1.014365903671918
2% GMV noise,6,8,-0.3046875,0.007255212573561987,0.9976593641064652
2% GMV noise,6,9,-0.31640625,0.004463537426438013,1.0358012907550707
2% GMV noise,6,10,-0.310546875,0.0013958375735619866,1.011139581124555
2% GMV noise,6,11,-0.3076171875,0.004325525073561987,1.007446696769319
2% GMV noise,6,12,-0.30615234375,0.005790368823561987,1.024608331408305
2% GMV noise,7,1,0.0,0.36886248338332817,0.7230866809402026
2% GMV noise,7,2,-1.5,1.131137516616672,1.147955331235932
2% GMV noise,7,3,-0.75,0.38113751661667183,1.1447575433229633
2% GMV noise,7,4,-0.375,0.006137516616671834,1.0401986654434907
2% GMV noise,7,5,-0.1875,0.18136248338332817,0.8889976764559558
2% GMV noise,7,6,-0.28125,0.08761248338332817,0.9640667202305109
2% GMV noise,7,7,-0.328125,0.040737483383328166,1.0110116219333432
2% GMV noise,7,8,-0.3046875,0.06417498338332817,0.9847393628533319
2% GMV noise,7,9,-0.31640625,0.052456233383328166,0.9330007865873664
2% GMV noise,7,10,-0.322265625,0.046596858383328166,0.9844356237211853
2% GMV noise,7,11,-0.3251953125,0.043667170883328166,0.9591025472136713
2% GMV noise,7,12,-0.32666015625,0.042202327133328166,0.9534397683820641
2% GMV noise,8,1,0.0,0.6117643124945256,0.7830868578847634
2% GMV noise,8,2,-1.5,0.8882356875054744,0.8967745067875594
2% GMV noise,8,3,-2.25,1.6382356875054744,0.714304797758888
2% GMV noise,8,4,-2.625,2.0132356875054747,0.6462778762325779
2% GMV noise,8,5,-2.8125,2.2007356875054747,0.6024667777654882
2% GMV noise,8,6,-2.90625,2.2944856875054747,0.6175112666056134
2% GMV noise,8,7,-2.953125,2.3413606875054747,0.6047400367223549
2% GMV noise,8,8,-2.9765625,2.3647981875054747,0.5979799389508962
2% GMV noise,8,9,-2.98828125,2.3765169375054747,0.5872844773184351
2% GMV noise,8,10,-2.994140625,2.3823763125054747,0.5665198245724854
2% GMV noise,8,11,-2.9970703125,2.3853060000054747,0.582673735979073
2% GMV noise,8,12,-2.99853515625,2.3867708437554747,0.5631588557695549
